cat_substrate,ddG,x1,x2,x4,x5,x6,x7,x8,x9,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x1_div_x26,x6_add_x26,x11_div_x9,x20_div_x9,x20_sub_x13,x21_mul_x30,x26_mul_x21,x26_div_x22,x27_add_x5,x27_mul_x29,x30_add_x8,x30_mul_x27,inv_x4,inv_x8,inv_x24,cbrt_x27,exp_x27,x27_squared,x27_cubed,sqrt_x30,cbrt_x30,ln_x30,inv_x30,x30_squared,x30_cubed,cbrt_x1divx26,inv_x1divx26,x1divx26_squared,inv_x2divx14,inv_x4divx15,cbrt_x6addx26,inv_x6addx26,exp_x6addx26,x6addx26_squared,x6addx26_cubed,inv_x9mulx18,sqrt_x11divx9,cbrt_x11divx9,ln_x11divx9,inv_x11divx9,exp_x11divx9,x11divx9_squared,x11divx9_cubed,inv_x11subx12,inv_x13divx27,inv_x20divx2,cbrt_x20divx9,inv_x20divx9,exp_x20divx9,x20divx9_squared,x20divx9_cubed,cbrt_x20subx13,inv_x20subx13,x20subx13_squared,cbrt_x21mulx30,inv_x21mulx30,exp_x21mulx30,x21mulx30_squared,x21mulx30_cubed,x24subx11_squared,sqrt_x26mulx5,ln_x26mulx5,inv_x26mulx5,exp_x26mulx5,x26mulx5_squared,ln_x26divx6,sqrt_x26mulx21,cbrt_x26mulx21,ln_x26mulx21,inv_x26mulx21,exp_x26mulx21,x26mulx21_squared,x26mulx21_cubed,cbrt_x26divx22,inv_x26divx22,exp_x26divx22,x26divx22_squared,x26divx22_cubed,cbrt_x27addx5,inv_x27addx5,exp_x27addx5,x27addx5_squared,x27addx5_cubed,cbrt_x27mulx29,exp_x27mulx29,x27mulx29_squared,x27mulx29_cubed,sqrt_x30addx8,cbrt_x30addx8,ln_x30addx8,inv_x30addx8,x30addx8_squared,cbrt_x30mulx27,exp_x30mulx27,x30mulx27_squared,x30mulx27_cubed
KA2_A1,1.719047172,80.57024732,72.97657181,0.32688,-0.398047322,-0.798253411,78.5230058,54.19956794,63.82505215,79.204143,49.88982683,49.80292968,57.371,85.77931302,-0.170193,28.10322128,57.371,1558.7206,-172.9063,-0.371293,65.0011174,65.0011174,61.1358388,52.7126817,-0.17413,0.01471,-0.31225,-0.11231,75.87902071,-462.7017017,-0.972383411,1.240956965,-2.709066333,-222.7092297,-28.17334923,0.06465325,-0.002678877,-0.383337322,-0.00165208,130.0785886,1.116180395,3.059226628,0.018450332,0.016357018,0.245021517,1.014818725,0.000216384,3.18301E-06,8.710856485,4.233574816,4.329140239,0.013178873,5757.625783,436883.006,-7.734525915,-0.00216122,214092.8648,0.786156414,262.4183585,-0.990708404,-1.028400926,0.378180603,0.945529498,-0.919417198,0.000273097,1.11398248,1.074613372,0.215882828,0.805829717,3.458921949,1.539974189,1.911041696,0.034113025,0.000295364,-0.42205849,-1.394033509,-0.369130865,0.066598959,7.339040399,-19.88194727,-6.061490171,-0.00449016,49599.40098,-3.042842636,-0.035494537,5.81393E-13,793.7376071,-22362.24681,326.4636169,0.263271685,-2.669137514,14.42752028,1.071770528,0.004804151,-1.522623958,0.254270034,0.401356333,-2.738716903,15.46712653,1.066789051,0.004180043,0.000270253,-0.138883587,-373.2907449,0.997324708,7.17638E-06,-1.92E-08,-0.726429883,-2.608668508,0.681582948,0.146947502,-0.056330462,-0.11821621,0.998349284,2.72937E-06,-4.51E-09,11.40520007,5.066817619,4.868138796,0.00768766,16920.43922,1.037316923,3.053169998,1.245858673,1.390603026
KA2_A2,1.61887539,80.57024732,72.97657181,0.32688,-0.398047322,-0.798253411,78.5230058,54.19956794,63.82505215,79.204143,49.88982683,49.80292968,57.5516,85.81166502,-0.16988,29.26094258,57.5516,1557.6808,-172.4812,-0.371064,65.05241781,64.97970054,61.17029201,52.68589266,-0.174002242,0.014857794,-0.311965303,-0.111759858,75.97180622,-463.0414322,-0.972255653,1.240956965,-2.702405939,-222.2841297,-28.1904023,0.064565968,-0.002674801,-0.383189528,-0.001660505,130.1713742,1.128773419,3.059226628,0.018450332,0.016347805,0.245839374,1.014968719,0.000220754,3.27992E-06,8.716180713,4.235299731,4.330362301,0.013162778,5771.715341,438487.6395,-7.736418431,-0.002159634,214407.3679,0.788631181,262.5173306,-0.990665013,-1.028536061,0.378228922,0.945281055,-0.919054849,0.00027224,1.11398248,1.074613372,0.215882828,0.805829717,3.458921949,1.539974189,1.911041696,0.034113025,0.000298332,-0.423098702,-1.392890134,-0.370040631,0.067044015,7.302997861,-19.7356648,-6.057631057,-0.004498747,49410.23431,-3.043456447,-0.035473066,5.71563E-13,794.6987821,-22402.87838,325.2197814,0.263175087,-2.669871476,14.43811343,1.071716026,0.004797104,-1.523357921,0.254098343,0.401175641,-2.74006782,15.48803545,1.066695944,0.004168764,0.00026916,-0.138813104,-373.8596531,0.997328774,7.15456E-06,-1.91E-08,-0.726336514,-2.609674654,0.681683689,0.146834215,-0.056265333,-0.118416818,0.998340873,2.75728E-06,-4.58E-09,11.40926703,5.068022059,4.868851845,0.007682181,16944.58665,1.041203433,3.091861754,1.274129431,1.438203434
KA2_A3,0.850944248,80.57024732,72.97657181,0.32688,-0.398047322,-0.798253411,78.5230058,54.19956794,63.82505215,79.204143,49.88982683,49.80292968,57.4329,86.18404032,-0.168771,33.17086342,59.995,1573.2441,-171.9441,-0.370103,65.48321021,65.15941597,61.07903754,52.74063548,-0.172925029,0.01528724,-0.305578074,-0.112396674,77.05104831,-465.9258868,-0.97117844,1.240956965,-2.693990748,-221.7470297,-28.51682413,0.064000072,-0.002640754,-0.382760082,-0.001718235,131.2506163,1.177897901,3.059226628,0.018450332,0.016372229,0.248185478,1.015404688,0.0002337,3.57262E-06,8.777872653,4.255260813,4.344468167,0.012978409,5936.864046,457441.5985,-7.752449517,-0.002146264,217086.932,0.787004631,263.656511,-0.990299008,-1.029676895,0.378636575,0.943187562,-0.916003424,0.000261152,1.11398248,1.074613372,0.215882828,0.805829717,3.458921949,1.539974189,1.911041696,0.034113025,0.000306955,-0.424420331,-1.391442828,-0.371196523,0.067610583,7.257586153,-19.55186995,-6.052748151,-0.004509643,49171.74517,-3.05515831,-0.035067019,4.12383E-13,813.2092587,-23190.14541,328.5194478,0.26235919,-2.67608152,14.52805373,1.071256592,0.004737892,-1.529567965,0.252982355,0.40000015,-2.748871073,15.62498245,1.066092475,0.004096009,0.000262145,-0.138221616,-378.6797708,0.99736273,6.97358E-06,-1.84E-08,-0.726065074,-2.612602641,0.681976498,0.14650528,-0.056076373,-0.119773531,0.99828324,2.95233E-06,-5.07E-09,11.45646613,5.081989738,4.877108597,0.007619012,17226.72427,1.056093937,3.247540373,1.387443466,1.634266747
KA2_A4,1.770179547,80.57024732,72.97657181,0.32688,-0.398047322,-0.798253411,78.5230058,54.19956794,63.82505215,79.204143,49.88982683,49.80292968,54.0981,85.71394808,-0.168667,32.11858661,55.5578,1582.3568,-171.9401,-0.369797,65.02136392,64.96107718,61.24385429,52.71967015,-0.177384712,0.012581121,-0.319768473,-0.097327889,76.03203542,-454.2119004,-0.975638123,1.240956965,-2.693928077,-221.7430297,-28.1164186,0.065596334,-0.002728099,-0.385466201,-0.001224494,130.2316034,0.956568206,3.059226628,0.018450332,0.016328169,0.232580397,1.012660596,0.000158285,1.9914E-06,8.719635051,4.23641866,4.33115477,0.013152351,5780.87041,439531.3438,-7.686928406,-0.002201616,206308.4505,0.741307774,262.2183923,-0.991812523,-1.024970198,0.376951735,0.951869748,-0.928680414,0.00028201,1.11398248,1.074613372,0.215882828,0.805829717,3.458921949,1.539974189,1.911041696,0.034113025,0.000252618,-0.424430205,-1.391432038,-0.371205159,0.067614821,7.257248485,-19.55050546,-6.052711756,-0.004509725,49169.97121,-3.04079167,-0.035566407,6.15453E-13,790.532995,-22226.95661,322.5719706,0.265720736,-2.65061877,14.16279945,1.073159938,0.00498542,-1.504105214,0.256117814,0.403298423,-2.724235461,15.24475427,1.067795598,0.004302879,0.000282253,-0.139729049,-366.5556239,0.997275619,7.44252E-06,-2.03E-08,-0.727772154,-2.594261173,0.680133483,0.148584192,-0.057274184,-0.106984011,0.998776255,1.49939E-06,-1.84E-09,11.41190621,5.068803582,4.86931443,0.007678628,16960.27051,0.985307936,2.602749031,0.915022733,0.875281654
KA2_A5,0.955858927,80.57024732,72.97657181,0.32688,-0.398047322,-0.798253411,78.5230058,54.19956794,63.82505215,79.204143,49.88982683,49.80292968,61.8149,86.56720329,-0.174761,33.23866324,61.8149,1571.9384,-164.8952,-0.372869,68.96634417,68.95206347,74.1544994,57.36756895,-0.169510869,0.018550355,-0.109682387,-0.143138024,77.84542258,-475.3102147,-0.96776428,1.240956965,-2.583549789,-214.6981297,-29.02614487,0.063205348,-0.002457878,-0.379496967,-0.002655261,132.0449905,1.444060213,3.059226628,0.018450332,0.013485358,0.264718366,1.018723482,0.000344116,6.38347E-06,8.823005303,4.269834351,4.354725099,0.01284597,6059.909817,471736.2405,-7.804151936,-0.002103889,225919.8002,0.8470513,264.8286934,-0.989137186,-1.033309475,0.37993151,0.936567701,-0.906376766,0.000253464,1.11398248,1.074613372,0.215882828,0.805829717,3.458921949,1.539974189,1.911041696,0.034113025,0.000372475,-0.442563348,-1.372162707,-0.387064342,0.075505499,6.674729512,-17.24449602,-5.987921346,-0.004657702,46095.28689,-3.073239828,-0.034451699,2.47802E-13,842.5170862,-24455.023,25.49890047,0.259756323,-2.696022614,14.82066683,1.069801746,0.004552653,-1.549509059,0.251406738,0.398337576,-2.761366361,15.82144599,1.065245563,0.003994916,0.0002525,-0.134954317,-406.8549986,0.99754514,6.04116E-06,-1.48E-08,-0.723995894,-2.635067172,0.684205501,0.144017948,-0.054654375,-0.138474268,0.997348261,7.05041E-06,-1.87E-08,11.49108309,5.092221778,4.883142702,0.007573176,17435.87952,1.130303574,4.237867578,2.085309899,3.011313056
KA2_A6,0.712150592,80.57024732,72.97657181,0.32688,-0.398047322,-0.798253411,78.5230058,54.19956794,63.82505215,79.204143,49.88982683,49.80292968,57.5611,87.01097591,-0.166024,43.00499038,61.9059,1580.1983,-156.5538,-0.367149,71.87735464,70.55553486,79.49847288,61.25547428,-0.173359829,0.016653291,-0.115783121,-0.122199101,80.64526631,-464.7573077,-0.97161324,1.240956965,-2.452858161,-206.3567297,-29.60882888,0.063648888,-0.002411884,-0.381394031,-0.002035017,134.8448342,1.343009117,3.059226628,0.018450332,0.012578858,0.255368128,1.01679273,0.000277332,4.61849E-06,8.980270949,4.320423239,4.390060109,0.012399984,6503.658978,524489.3103,-7.745962838,-0.002151661,215999.355,0.78876136,266.1862944,-0.990446773,-1.029216111,0.378471979,0.944032288,-0.91723427,0.000253091,1.11398248,1.074613372,0.215882828,0.805829717,3.458921949,1.539974189,1.911041696,0.034113025,0.000334384,-0.466143727,-1.348623775,-0.407687658,0.086047298,6.016513156,-14.75765339,-5.909347718,-0.004845977,42583.09988,-3.093668272,-0.03377371,1.38372E-13,876.6827477,-25957.54946,0.08663008,0.262688819,-2.67357029,14.49161622,1.071442012,0.004761747,-1.527056735,0.252287312,0.399267174,-2.754373428,15.71119362,1.065718146,0.004051181,0.000257853,-0.13410721,-414.6136686,0.997591022,5.81718E-06,-1.40E-08,-0.725200281,-2.621960282,0.68290875,0.145461407,-0.055478112,-0.126723171,0.997967052,4.1413E-06,-8.43E-09,11.61227085,5.127961681,4.904124741,0.007415931,18183.12932,1.103298396,3.830552761,1.803673488,2.422349938
KA2_A9,1.470770707,80.57024732,72.97657181,0.32688,-0.398047322,-0.798253411,78.5230058,54.19956794,63.82505215,79.204143,49.88982683,49.80292968,57.8299,85.91401898,-0.170949,29.22487465,58.1307,1576.0544,-164.6822,-0.372295,65.07708138,65.01974076,61.12838945,52.62416139,-0.16988734,0.021748187,-0.325655736,-0.09959546,76.1313322,-474.2569229,-0.968140751,1.240956965,-2.580212541,-214.4851297,-28.34331432,0.063248207,-0.002610556,-0.376299135,-0.002166021,130.3309001,1.655718476,3.059226628,0.018450332,0.016359011,0.279130754,1.021986403,0.000472984,1.02865E-05,8.725327054,4.238262093,4.332459904,0.013135196,5795.979743,441255.6593,-7.798382981,-0.002108562,224919.6289,0.792444733,262.8304545,-0.989265432,-1.032907662,0.379788503,0.937296515,-0.907434952,0.000269528,1.11398248,1.074613372,0.215882828,0.805829717,3.458921949,1.539974189,1.911041696,0.034113025,0.000436685,-0.44313576,-1.371571632,-0.387564971,0.075757901,6.657496759,-17.17775663,-5.985940504,-0.004662328,46003.87085,-3.048949359,-0.035281689,4.90518E-13,803.3434668,-22769.41639,326.7328664,0.260044613,-2.693804146,14.7878241,1.069962072,0.004572897,-1.547290591,0.251491963,0.398427592,-2.760688493,15.81072478,1.06529122,0.004000336,0.000253014,-0.137692721,-383.0602163,0.997392849,6.815E-06,-1.78E-08,-0.72195657,-2.65746027,0.686396977,0.141601039,-0.053284348,-0.129386074,0.997836323,4.69165E-06,-1.02E-08,11.41625596,5.070091513,4.870076602,0.007672778,16986.14353,1.183029293,5.236841115,2.741403672,4.538992709
KA2_A11,1.866613257,80.57024732,72.97657181,0.32688,-0.398047322,-0.798253411,78.5230058,54.19956794,63.82505215,79.204143,49.88982683,49.80292968,59.455,85.86678226,-0.161929,29.29129482,59.507,1548.5315,-183.3846,-0.363426,65.13018014,65.11751341,61.16563617,52.77732482,-0.180313292,0.000217547,-0.277836752,-0.134138391,76.12644876,-446.8347646,-0.978566703,1.240956965,-2.873238546,-233.1875297,-27.66633077,0.065530538,-0.002768506,-0.397829775,-2.92E-05,130.3260167,0.01656105,3.059226628,0.018450332,0.016349049,0.060142863,1.00021757,4.73265E-08,1.02957E-11,8.725047207,4.23817147,4.332395757,0.013136039,5795.2362,441170.7516,-7.645084998,-0.002237964,199661.3069,0.814713524,262.6859467,-0.992803908,-1.021902745,0.375849417,0.957592792,-0.937068421,0.000263294,1.11398248,1.074613372,0.215882828,0.805829717,3.458921949,1.539974189,1.911041696,0.034113025,4.36815E-06,-0.397942749,-1.421643034,-0.348039324,0.056515602,8.25549974,-23.72002007,-6.155099916,-0.004288394,54376.424,-3.024478639,-0.036145017,9.65306E-13,765.425858,-21176.52497,325.3877286,0.26790525,-2.634243812,13.93277268,1.074411665,0.005151396,-1.487730256,0.255989333,0.403163536,-2.72523901,15.2600608,1.067725343,0.004294251,0.000281405,-0.140415533,-361.205652,0.997235323,7.66463E-06,-2.12E-08,-0.735471353,-2.513637897,0.671776371,0.15826853,-0.062963934,-0.030787077,0.999970819,8.51551E-10,-2.48E-14,11.41604208,5.070028188,4.870039132,0.007673065,16984.87063,0.254895767,1.016698944,0.000274268,4.54217E-06
KA2_A13,1.719047172,80.57024732,72.97657181,0.32688,-0.398047322,-0.798253411,78.5230058,54.19956794,63.82505215,79.204143,49.88982683,49.80292968,57.4257,86.03242317,-0.165666,29.31415755,58.4561,1535.7576,-177.0278,-0.367723,65.2494597,64.80277861,61.1358388,52.75461237,-0.173614848,-0.003853708,-0.295268269,-0.118831781,76.41782784,-464.0746362,-0.971868259,1.240956965,-2.773641291,-226.8307297,-28.10059291,0.063842173,-0.002660786,-0.40190103,0.000457943,130.6173958,-0.294491994,3.059226628,0.018450332,0.016357018,-0.156780821,0.996153708,1.48511E-05,-5.72E-08,8.741729111,4.24357188,4.336216018,0.013085952,5839.684412,446255.9981,-7.742168356,-0.002154826,215365.268,0.78690597,263.1926798,-0.99053342,-1.028946044,0.378375474,0.944527912,-0.917956698,0.000268027,1.11398248,1.074613372,0.215882828,0.805829717,3.458921949,1.539974189,1.911041696,0.034113025,-7.74E-05,-0.41223227,-1.405022992,-0.360536888,0.062434249,7.693086008,-21.337861,-6.098653556,-0.004408574,51452.17993,-3.040221046,-0.035586438,6.2527E-13,789.6433218,-22189.44553,326.4636169,0.262881961,-2.672100333,14.47032981,1.071550779,0.004775767,-1.525586777,0.252670087,0.399670922,-2.751341293,15.66362732,1.065924154,0.004075823,0.000260209,-0.138570244,-375.8287989,0.997342751,7.07978E-06,-1.88E-08,-0.737971698,-2.488174763,0.669046958,0.161524438,-0.064916838,0.077079189,1.000458048,2.09712E-07,9.6036E-11,11.42879678,5.073803849,4.872272407,0.007655948,17060.90408,-0.665310684,0.74490991,0.086725534,-0.025539976
KA2_A14,1.63987508,80.57024732,72.97657181,0.32688,-0.398047322,-0.798253411,78.5230058,54.19956794,63.82505215,79.204143,49.88982683,49.80292968,62.9273,86.29958886,-0.162489,30.14076346,62.9273,1536.7861,-178.9074,-0.365472,65.49976255,65.4937053,61.26899583,55.99200988,-0.172548263,-0.007085673,-0.285723082,-0.134123405,76.47317359,-466.9432539,-0.970801674,1.240956965,-2.803090542,-228.7103297,-27.9488037,0.063061559,-0.002634334,-0.405132995,0.000950355,130.6727415,-0.541863867,3.059226628,0.018450332,0.016321469,-0.192070364,0.992939372,5.02068E-05,-3.56E-07,8.744894144,4.244596105,4.336940007,0.013076481,5848.146279,447226.3056,-7.758088005,-0.002141588,218036.0024,0.862294548,264.0100002,-0.990170931,-1.03007651,0.378779259,0.94245589,-0.914937755,0.000248983,1.11398248,1.074613372,0.215882828,0.805829717,3.458921949,1.539974189,1.911041696,0.034113025,-0.000142274,-0.40790136,-1.409978126,-0.35674909,0.060622417,7.857316586,-22.02476981,-6.115452444,-0.004372343,52308.4149,-3.034737103,-0.035779707,7.27761E-13,781.1356282,-21831.80633,321.6695041,0.262073222,-2.678262678,14.55977629,1.071095947,0.004717268,-1.531749123,0.251120606,0.398035279,-2.763643907,15.85752113,1.065092403,0.00397676,0.000250781,-0.138109522,-379.6025614,0.997369133,6.93972E-06,-1.83E-08,-0.739944599,-2.46832525,0.666888112,0.164132743,-0.06649559,0.098316985,1.000950806,9.03174E-07,8.58335E-10,11.43121785,5.074520379,4.872696041,0.007652705,17075.36538,-0.815261119,0.581663099,0.293616451,-0.159100145
